dataset_id,split,split_seed,task_type,policy,delta_mae,delta_failure_rate
moleculeace_CHEMBL1871_Ki,random,20260811,regression,uncertainty_pool,0.0325622331690317,0.0625
moleculeace_CHEMBL1871_Ki,random,20260812,regression,mara_axis,0.0255410585181837,-0.03125
moleculeace_CHEMBL1871_Ki,random,20260812,regression,mismatched_axis,0.0312556589582986,-0.03125
moleculeace_CHEMBL1871_Ki,random,20260812,regression,nearest_neighbor,0.0352271196217016,-0.015625
moleculeace_CHEMBL1871_Ki,random,20260812,regression,random_axis,0.030067642772029717,-0.0328125
moleculeace_CHEMBL1871_Ki,random,20260812,regression,uncertainty_pool,0.0270164864388036,0.0
moleculeace_CHEMBL1871_Ki,random,20260813,regression,mara_axis,0.017639448284785,0.03125
moleculeace_CHEMBL1871_Ki,random,20260813,regression,mismatched_axis,0.0207149195937406,0.046875
moleculeace_CHEMBL1871_Ki,random,20260813,regression,nearest_neighbor,0.0205600626152588,0.046875
moleculeace_CHEMBL1871_Ki,random,20260813,regression,random_axis,0.019038401966423278,0.034375
moleculeace_CHEMBL1871_Ki,random,20260813,regression,uncertainty_pool,0.0200837402436226,0.015625
moleculeace_CHEMBL1871_Ki,random,20260814,regression,mara_axis,0.0217566896509775,-0.015625
moleculeace_CHEMBL1871_Ki,random,20260814,regression,mismatched_axis,0.0096647257577078,0.015625
moleculeace_CHEMBL1871_Ki,random,20260814,regression,nearest_neighbor,0.0160288256217697,-0.015625
moleculeace_CHEMBL1871_Ki,random,20260814,regression,random_axis,0.012252314169325141,-0.00625
moleculeace_CHEMBL1871_Ki,random,20260814,regression,uncertainty_pool,0.0113904619870778,-0.015625
moleculeace_CHEMBL1871_Ki,random,20260815,regression,mara_axis,0.0137990041665039,0.0625
moleculeace_CHEMBL1871_Ki,random,20260815,regression,mismatched_axis,0.0303227882859078,0.078125
moleculeace_CHEMBL1871_Ki,random,20260815,regression,nearest_neighbor,0.0233313893609616,0.015625
moleculeace_CHEMBL1871_Ki,random,20260815,regression,random_axis,0.0213533779317214,0.0359375
moleculeace_CHEMBL1871_Ki,random,20260815,regression,uncertainty_pool,0.0308678799927398,0.0625
moleculeace_CHEMBL1871_Ki,scaffold,20260811,regression,mara_axis,-0.0215857397413967,0.0
moleculeace_CHEMBL1871_Ki,scaffold,20260811,regression,mismatched_axis,-0.0158230679798554,0.0
moleculeace_CHEMBL1871_Ki,scaffold,20260811,regression,nearest_neighbor,-0.0120738194452636,0.015625
moleculeace_CHEMBL1871_Ki,scaffold,20260811,regression,random_axis,-0.01490050786769955,-0.0125
moleculeace_CHEMBL1871_Ki,scaffold,20260811,regression,uncertainty_pool,-0.0554120173900101,-0.015625
moleculeace_CHEMBL1871_Ki,scaffold,20260812,regression,mara_axis,-0.0757598721184791,-0.0625
moleculeace_CHEMBL1871_Ki,scaffold,20260812,regression,mismatched_axis,-0.0603314335800057,-0.046875
moleculeace_CHEMBL1871_Ki,scaffold,20260812,regression,nearest_neighbor,-0.0671463182370083,-0.046875
moleculeace_CHEMBL1871_Ki,scaffold,20260812,regression,random_axis,-0.05026653384016881,-0.065625
moleculeace_CHEMBL1871_Ki,scaffold,20260812,regression,uncertainty_pool,-0.0768353894747155,-0.109375
moleculeace_CHEMBL1871_Ki,scaffold,20260813,regression,mara_axis,-0.0204591063932575,-0.03125
moleculeace_CHEMBL1871_Ki,scaffold,20260813,regression,mismatched_axis,-0.0431647641270587,-0.015625
moleculeace_CHEMBL1871_Ki,scaffold,20260813,regression,nearest_neighbor,-0.0337431136983246,-0.015625
