task_type,policy,independent_units,datasets,splits,seeds,delta_mae_mean,delta_mae_std,delta_failure_rate_mean,delta_failure_rate_std
regression,mara_axis,30,3,2,5,0.009153497136752188,0.031223471897737054,0.011458333333333333,0.03891314839249187
regression,mismatched_axis,30,3,2,5,0.00493410548801472,0.031922774614940475,0.011979166666666667,0.0388590246493064
regression,nearest_neighbor,30,3,2,5,0.00937992384387907,0.03159274609322052,0.009895833333333333,0.031647082097976925
regression,random_axis,30,3,2,5,0.0037562998711820066,0.02516128789045386,0.008177083333333333,0.035409310320359336
regression,uncertainty_pool,30,3,2,5,0.0003678255930361964,0.032648114653701855,-0.0015625,0.04482778048283499
