missingness_mechanism,mask_rate,strategy,failure_auroc_mean,failure_auroc_std,failure_auprc_mean,failure_auprc_std,risk_brier_mean,risk_brier_std,risk_nll_mean,risk_nll_std,risk_ece_mean,risk_ece_std,aurc_mean,aurc_std,attribution_macro_f1_all_causes_mean,attribution_macro_f1_all_causes_std,attribution_micro_f1_all_causes_mean,attribution_micro_f1_all_causes_std,attribution_macro_f1_observable_causes_mean,attribution_macro_f1_observable_causes_std,attribution_micro_f1_observable_causes_mean,attribution_micro_f1_observable_causes_std
MAR,0.1,axis_dropout_training,0.7816008744724916,0.001105329126253,0.6565522958743999,0.002220526906311,0.1676648904669999,0.0005528409954062,0.50963153073695,0.0014568617389633,0.0159919492585858,0.0020211728485883,0.1566535642936805,0.0014074755544733,0.831187055925585,0.0013124532756401,0.8412070821368995,0.0011562771829613,0.8863087996560772,0.0009427697683171,0.895153388713663,0.0010415682190901
MAR,0.1,missing_indicator,0.8291888093893609,0.0011029514838138,0.7225421958952708,0.002241159937201,0.1494345518087237,0.0005799078332065,0.4637959801720934,0.0018627227932887,0.0202222399126624,0.0023381556436099,0.1327926185857444,0.0018681160019519,0.830495149649477,0.0033223005718225,0.8405474664662892,0.0031506337128474,0.8857748430092475,0.0036417500849266,0.8945178245492214,0.0035744728425821
MAR,0.1,modular_inference,0.8272052383726536,0.0008321640037899,0.7197963291238334,0.0034596701681754,0.1500008923514811,0.0004281624346939,0.4650155958568657,0.0013206357202739,0.0180455581785836,0.0023658454789529,0.1337823964863465,0.0016985472364366,0.828648914256448,0.0023248382180618,0.8382537684910265,0.0019215776987752,0.883918612346584,0.0023980406999556,0.8921124625433542,0.0021580452390385
MAR,0.1,zero_imputation,0.7803433879868207,0.0009455181218884,0.6549310249349607,0.0025107822408624,0.1681044169147459,0.0004276513277963,0.5102627304612283,0.0010747784200629,0.0158608742062812,0.0014384964932402,0.1571881950336426,0.0011572055645344,0.828648914256448,0.0023248382180618,0.8382537684910265,0.0019215776987752,0.883918612346584,0.0023980406999556,0.8921124625433542,0.0021580452390385
MAR,0.3,axis_dropout_training,0.6233262662475376,0.0029154339550959,0.4732496734045847,0.0021619008716225,0.2065442970275565,0.0007281045959376,0.6032607488313969,0.0016232176749764,0.0339460166053846,0.0024759264649762,0.2563174526505439,0.0023792027206401,0.6932830948864921,0.0011228450046879,0.7087210796336839,0.000617358888021,0.8738128064199973,0.0020526862934206,0.8877718286995835,0.0010812855888746
MAR,0.3,missing_indicator,0.8113711477772577,0.0018989553941328,0.6789840616381667,0.0029931626654674,0.1583399408547285,0.0009494594023628,0.4859251993993741,0.0028295670336799,0.0275776651645529,0.0024358694717524,0.1403720959568429,0.0025134724386181,0.6944564959016104,0.0012639933137711,0.7088370013597526,0.0012561505286935,0.876782311341519,0.0024900800869389,0.8886876311658938,0.0023235418726387
MAR,0.3,modular_inference,0.8007082174258082,0.0015996108645205,0.6772562004184437,0.0047671844549994,0.1616074626780116,0.0008738660250078,0.4950748922333924,0.002202213138702,0.0218342044237889,0.0026571119799376,0.1500565165805993,0.0018782320910741,0.6943187530376158,0.0007176239204617,0.7088024714150184,0.0003733199772798,0.8758603771585383,0.0010979985299636,0.8882040129717872,0.0007890446956631
MAR,0.3,zero_imputation,0.6242474228281635,0.0024985733716426,0.4702947871875519,0.0030023771839678,0.205341842591889,0.0006144904335777,0.600209631220028,0.0013734398734096,0.0149991963916302,0.0024049855462918,0.2564016198627435,0.0023817486299715,0.6943187530376158,0.0007176239204617,0.7088024714150184,0.0003733199772798,0.8758603771585383,0.0010979985299636,0.8882040129717872,0.0007890446956631
MAR,0.5,axis_dropout_training,0.5561088261361927,0.0033034580839578,0.399825366274265,0.0026657843140869,0.2148701111280699,0.0007471732101658,0.6210626833497693,0.0015629191919805,0.027192965443891,0.0052385113064763,0.29576799493832,0.0020383780815292,0.5315575390021661,0.0013981484746744,0.5491686154697717,0.0016523725510197,0.8690264553349921,0.0020311777253028,0.8885541271910757,0.0008355415402587
MAR,0.5,missing_indicator,0.792672435068523,0.0027138865201855,0.6444379547413626,0.0029907575543047,0.1665196014219941,0.001084131868776,0.5061145995499908,0.0032688030425194,0.0334836664914656,0.0022921284311679,0.1491458819328708,0.0026230530584526,0.5321555813609844,0.0017894720070394,0.5494554909085141,0.001952988755843,0.8700167040384452,0.0025225402681431,0.889543799427942,0.0013462571117909
