method,expected_failure_after_mean,expected_failure_after_std,absolute_failure_reduction_mean,absolute_failure_reduction_std,relative_failure_reduction_mean,relative_failure_reduction_std,mean_axes_acted_mean,mean_axes_acted_std,action_cause_precision_mean,action_cause_precision_std
generic_remediation,0.1669177013972952,0.00100882553635,0.1977042375217814,0.0002058761373621,0.54222028049016,0.0014983465411817,5.0,0.0,0.4172916058598487,0.0007592137967373
global_top_axis,0.175697052911212,0.0011773115494447,0.1889248860078647,0.0002064010867566,0.518143273317792,0.0018703141986329,2.0,0.0,0.4753492830108898,0.0557823470367158
mara_guided,0.1480447816867719,0.0012193451460329,0.2165771572323048,0.0006003390249089,0.593981319315906,0.0023980904480341,2.0,0.0,0.7899303045361726,0.0007126884780241
no_remediation,0.3646219389190768,0.0010483773095084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oracle_cause_guided,0.1520469227946105,0.0011170624863974,0.2125750161244662,0.0003359056069597,0.5830051336665869,0.0019531980044964,1.5842512475691617,0.0011536544431847,1.0,0.0
oracle_counterfactual,0.1412085401545529,0.0010312222330351,0.2234133987645238,0.0002389178228929,0.6127299310081206,0.0017624953770246,2.0,0.0,0.7524159369138891,0.0011407992008957
raw_severity_guided,0.1512046453203864,0.0011102951923583,0.2134172935986903,0.000351654247299,0.585315073143563,0.0019506659212341,2.0,0.0,0.7898255906727942,0.0007364728479319
rf_occlusion_guided,0.1537136345880853,0.0018221879611735,0.2109083043309914,0.0011516554327436,0.5784366204694021,0.0040804496129794,2.0,0.0,0.7208485799833605,0.0040885328340308
