method,failure_auroc_mean,failure_auroc_std,failure_auprc_mean,failure_auprc_std,risk_brier_mean,risk_brier_std,risk_nll_mean,risk_nll_std,risk_ece_mean,risk_ece_std,aurc_mean,aurc_std
mara_nonnegative,0.8400794362173976,0.0015255670731856,0.755565600437588,0.0016190312548587,0.1429415632198446,0.0008042122099618,0.4473658783929711,0.0024168735422615,0.0244142981076723,0.0024873080495511,0.1290393731584034,0.0020094132504405
mara_rank_fusion,0.831803694408485,0.0015597636450048,0.7358533194463784,0.0015485476845336,0.1497382087758825,0.0009127551722202,0.4759587827634536,0.0033025934865928,0.0501004491461847,0.0016648382575663,0.1323124953001608,0.0021492072442924
max_axis,0.7140936609964603,0.0020864415941749,0.5040577616801963,0.0028367854610859,0.191924876254085,0.0009351183239976,0.561202387156699,0.0024252401676741,0.0197244276386632,0.002340957407842,0.1765238875418462,0.0026010397963783
rf_error_predictor,0.8268622362243804,0.0020788955685396,0.7383104196804462,0.0029258167581147,0.176191069435786,0.0011622860844901,0.7484210496321119,0.008246477882306,0.1503124195556655,0.0015171868622773,0.1370659829287178,0.0024395597857851
scalar_axis_mean,0.8373418237185822,0.0016946090217532,0.7488310664691182,0.0015307992131082,0.1435964224357559,0.0008360696784794,0.4466825623590118,0.0023009948493935,0.0067627938800399,0.0017090243410274,0.1299309571879205,0.002086259616885
