method,macro_f1_mean,macro_f1_std,micro_f1_mean,micro_f1_std,jaccard_mean,jaccard_std,exact_match_mean,exact_match_std,precision_at_k_mean,precision_at_k_std,recall_at_k_mean,recall_at_k_std
axis_severity,0.9017227304536412,0.0003949661407975,0.909240241882871,0.0004036392005676,0.8308636989319286,0.0008420484719884,0.6419857704253207,0.0020091763224205,0.9929892668675376,0.0002572279459077,0.9929892668675376,0.0002572279459077
mara_attribution,0.901534968845884,0.0004455651621624,0.909099365052817,0.0003743318753163,0.8313730184428467,0.0016016197840994,0.6420175114062847,0.0019840213870842,0.992929923485832,0.0003333371880216,0.992929923485832,0.0003333371880216
random_attribution,0.569373819584917,0.0007543786005179,0.5777385703556861,0.0008139767041882,0.4058264814376097,0.0008253173687882,0.0604786843393478,0.0007909845469007,0.4164966419463555,0.0008407343722351,0.4164966419463555,0.0008407343722351
rf_occlusion_attribution,0.7959041212846947,0.007884063038208,0.8082135370227993,0.0078265165682809,0.6800701187338831,0.0135377859247826,0.4079876841882409,0.0174102995810511,0.8416984993831174,0.0122661217275498,0.8416984993831174,0.0122661217275498
supervised_cause_upper_bound,0.975079573618123,0.0002641359507482,0.976975239596514,0.0002473201154743,0.955861188825112,0.0005369244024328,0.9098265123202014,0.0009910239526171,0.993369812656416,0.0003015523691484,0.993369812656416,0.0003015523691484
