mask_rate,strategy,failure_auroc_mean,failure_auroc_std,failure_auprc_mean,failure_auprc_std,risk_brier_mean,risk_brier_std,risk_nll_mean,risk_nll_std,risk_ece_mean,risk_ece_std,aurc_mean,aurc_std,attribution_macro_f1_all_causes_mean,attribution_macro_f1_all_causes_std,attribution_micro_f1_all_causes_mean,attribution_micro_f1_all_causes_std,attribution_macro_f1_observable_causes_mean,attribution_macro_f1_observable_causes_std,attribution_micro_f1_observable_causes_mean,attribution_micro_f1_observable_causes_std
0.1,axis_dropout_training,0.8094437974357411,0.0018088849746937,0.7165020884623392,0.0018537195946516,0.1548782835137816,0.000743644242761,0.4798854377428397,0.0022135933921301,0.0254707059624745,0.0019074676503787,0.1477268984021136,0.0021884914524032,0.7989097623998204,0.0036743604706745,0.8110458277674182,0.002649742684106,0.8629074429294384,0.0035623644042038,0.8746613611913701,0.0024956117700477
0.1,missing_indicator,0.8289432823999869,0.0015846115889929,0.7385311901990513,0.0021306236662042,0.1482480242236459,0.0006872959905774,0.4613102204066164,0.0020889682057385,0.0251164565972625,0.0026553453181784,0.1343378319880636,0.001822773151501,0.8011505127884565,0.0034087574469836,0.8114452960291487,0.0021508142968304,0.8651664362914004,0.0037080185464318,0.8749350116307362,0.0025308607889053
0.1,modular_inference,0.8253317622252407,0.0018741561916654,0.7308813608025109,0.003446970270213,0.1495450910541798,0.0007513508743974,0.4650099235406529,0.0021463213778578,0.0227060428513277,0.0022650866022555,0.1375846637418368,0.0016658277332194,0.7968358316270802,0.0020118363826748,0.8090559005031617,0.0017089516465134,0.8608449863998633,0.0023394219222662,0.8725288874121663,0.0020945782673966
0.1,zero_imputation,0.80938068714641,0.0018601028632061,0.7168815575440114,0.0021879418151618,0.1546818652275167,0.0007334783232729,0.4782729138353196,0.0019526560255647,0.0206852090853703,0.0018833639997565,0.1477635383288996,0.0021130251677648,0.7968358316270802,0.0020118363826748,0.8090559005031617,0.0017089516465134,0.8608449863998633,0.0023394219222662,0.8725288874121663,0.0020945782673966
0.3,axis_dropout_training,0.7533445107018166,0.0011334177368154,0.644331438789445,0.0021408790730487,0.173838746092808,0.0004090952798681,0.527628030408056,0.0010186844261672,0.0230274312285425,0.002474647344583,0.1823513399678499,0.0014715341090206,0.6821122842495743,0.0016961291525589,0.6916656248503605,0.001550147158555,0.8820838182394191,0.0016739577104106,0.8910711378415316,0.001532879317841
0.3,missing_indicator,0.8033500144569201,0.0014438253042557,0.699439793405606,0.0018852975547354,0.158842990661544,0.0009238626221079,0.4879323169035717,0.0023263399305802,0.0214899570394986,0.0020060183403845,0.1468386664892193,0.0019232596851335,0.682591521020358,0.0019549964611302,0.6921043957998254,0.0019290786257269,0.8832232387245942,0.0016215364746579,0.8918100048269147,0.0016998580309198
0.3,modular_inference,0.7913396467070271,0.0022542895336294,0.6710911973755698,0.0038715432288152,0.1632863358656756,0.0012134140851542,0.5007191717004051,0.0029259617497776,0.0207373903502314,0.0018411396042882,0.1591592438983179,0.0021278059513664,0.6810351223721162,0.0020376703758936,0.6906726323240742,0.0020087829435409,0.8815705476099479,0.0023004234175944,0.8901714696059925,0.0021495263639672
0.3,zero_imputation,0.7530969668232018,0.0009893241515042,0.6438377999287213,0.0020160502890779,0.1733480791548747,0.0004884376539901,0.5252583862088046,0.0011653361011911,0.0118774648603283,0.0017143240569718,0.1825490668113557,0.0015483489942428,0.6810351223721162,0.0020376703758936,0.6906726323240742,0.0020087829435409,0.8815705476099479,0.0023004234175944,0.8901714696059925,0.0021495263639672
0.5,axis_dropout_training,0.7025483543027262,0.0025896018245983,0.5741016062315074,0.0052483358799373,0.1883917006985502,0.0006796058042033,0.5614858382933504,0.0016393841836422,0.0160521324439895,0.0023389738304319,0.2114103030400926,0.0019089718915404,0.5422944195056426,0.0013805309668927,0.5504583464668015,0.0015576477381445,0.8936761082648891,0.001552356025682,0.9023709037462944,0.0010747663359957
0.5,missing_indicator,0.7683327443455419,0.0014982390233286,0.6495093494482803,0.0034195202064959,0.1712436952632249,0.0006782574082917,0.5192296658678852,0.001916607211475,0.0221408909921605,0.002868952169265,0.1649390866731146,0.0021367603589246,0.5429608260257169,0.0015301138632749,0.5509019196807072,0.001695661961723,0.8962945908074851,0.0014363862686254,0.9038095189017534,0.0007011282998785
0.5,modular_inference,0.7468291143682555,0.0025225297213046,0.5982215763591797,0.0048259176162914,0.1781802492285597,0.0009893647443218,0.5376552512172481,0.0025235434470187,0.0228757901144508,0.0009930404775999,0.1873410554043506,0.0019951454324583,0.5417975897864324,0.0016760534116562,0.5498996345902067,0.001668883862851,0.8942570195541402,0.0021984500894604,0.902174956158516,0.0017949610472417
0.5,zero_imputation,0.7018264930581706,0.0026449108723242,0.5730561549817699,0.0052483125255159,0.1886862804497052,0.0006746639609195,0.5617699888571012,0.0015796356434692,0.016002286036652,0.0026369543146852,0.2119952052584287,0.0019359202168584,0.5417975897864324,0.0016760534116562,0.5498996345902067,0.001668883862851,0.8942570195541402,0.0021984500894604,0.902174956158516,0.0017949610472417
0.7,axis_dropout_training,0.6746015757392125,0.0022596673704372,0.5196060751182691,0.0025426548107551,0.1970790004513861,0.0005911729998463,0.5804751692225002,0.0013667329028678,0.0245610580666342,0.0018781400845622,0.2240915835806936,0.00250117731886,0.3975560414916202,0.0010250200703331,0.4039673594187791,0.0011358963054003,0.917647698300647,0.0015027768417677,0.9256026626707672,0.0013052317614722
0.7,missing_indicator,0.7298236759440451,0.000709072832932,0.592596586816812,0.0025226043767339,0.183222089261671,0.0004575636584287,0.5485090746562091,0.0011385269929107,0.0209584580494489,0.0033943577161429,0.1858918410781265,0.0016499057526455,0.3979330250746306,0.0008795648081921,0.4042578638919876,0.0010297524156317,0.9201180058920492,0.0016551433453239,0.9271203990189296,0.0015031553762871
0.7,modular_inference,0.7077454004040915,0.001791765643463,0.5430104720187103,0.0038185737259409,0.1895395838130755,0.0004223015255228,0.56400786953538,0.0010836368947254,0.0242739338728354,0.0027966319407326,0.2092993877734075,0.0021744874720316,0.3976556472161434,0.0008829986090463,0.4040055836985073,0.0010213036281233,0.9194831288603136,0.0014877135217999,0.926516024896626,0.0013487039708895
0.7,zero_imputation,0.6732602255756832,0.0021076311484153,0.5184182214423728,0.0029857516094766,0.1992411659052843,0.0004870591003876,0.5859361880642318,0.0009666973399907,0.0318336070242418,0.0030891960834894,0.2248981922400944,0.0024538490694265,0.3976556472161434,0.0008829986090463,0.4040055836985073,0.0010213036281233,0.9194831288603136,0.0014877135217999,0.926516024896626,0.0013487039708895
