n,axis_construction_seconds_mean,axis_construction_seconds_std,mara_fit_seconds_mean,mara_fit_seconds_std,mara_inference_microseconds_per_sample_mean,peak_rss_mb_mean,hnsw_recall_at_k_mean,support_auroc_loss_exact_minus_hnsw_mean,repeats,support_auroc_abs_difference_mean,support_auroc_abs_difference_std,support_auroc_abs_difference_max
10000,0.1037387978285551,0.0028168934116147,0.0023537310771644,0.0001322422935897,0.0125611614849832,194.77083333333331,1.0,0.0,3,0.0,0.0,0.0
50000,0.4957539273115496,0.012418548332149,0.0037400155949095,0.0002424219019336,0.0053329807188775,210.01171875,1.0,0.0,3,0.0,0.0,0.0
100000,1.0071233613416553,0.0111896170569173,0.0050778004030386,0.0001420364282515,0.0048317429092195,227.36197916666663,0.9999333333333332,0.0,3,0.0,0.0,0.0
250000,2.668412775422136,0.0373195524907848,0.0083019587521751,0.0005630695458503,0.0045659020543098,288.7565104166667,0.9992,-0.002215725213298,3,0.002215725213298,0.0038377486450435236,0.006647175639894
500000,5.473926498554647,0.047305421420094,0.0150915935325125,0.0045749996698598,0.0061176551712883,388.2395833333333,0.9982666666666667,0.0003489729435793,3,0.0012867487599959335,0.00037427843820190377,0.0015863738832763
1000000,11.4730236978891,0.1589326894923766,0.0317270026231805,0.000451827690665,0.0072895114620526,553.2434895833334,0.9996666666666668,0.0,3,0.0,0.0,0.0
