base_predictor,method,n,seed_n,dataset_n,failure_auroc_mean,failure_auroc_std,failure_auprc_mean,failure_auprc_std,risk_nll_mean,risk_nll_std,risk_brier_mean,risk_brier_std,risk_coverage_auc_mean,risk_coverage_auc_std,selective_risk_at_80_mean,selective_risk_at_80_std,selective_risk_at_90_mean,selective_risk_at_90_std
chemberta_xgb,risk_calibrated_tanimoto,75,5,5,0.5945317795074191,0.07706662841014114,0.27025294488425616,0.08795709089131253,0.48648357648430846,0.05551871076047675,0.1552231982010794,0.023709281600573992,0.1596377252289398,0.04440441736304505,0.1765075087573821,0.04085111963344933,0.18611735288128095,0.043877357862235684
chemberta_xgb,risk_ensemble_variance,75,5,5,0.5240119790702795,0.030292662875886597,0.20839066323793354,0.044802931090121824,4.2799468620072165,3.6295908746796863,0.4557648004338144,0.20345390098845526,0.188998932137148,0.04534897746037441,0.1972729572453757,0.04614670149600018,0.19640980291066387,0.04748623648099487
chemberta_xgb,risk_mara,75,5,5,0.5975027647690576,0.07977681560740618,0.2795629843935516,0.09619806374713856,0.6754482557864456,0.04974385701521137,0.24091723527585956,0.021938797798686807,0.15835059648951863,0.047823452921602894,0.17750568246987192,0.04615634143640921,0.18516301019476064,0.03839763508115345
chemberta_xgb,risk_mara_rank_fusion,75,5,5,0.6165193507770045,0.08447456342854524,0.28848536185434537,0.08757173834045684,0.48269874505572574,0.06148371326260218,0.1539500201693057,0.025006036940630538,0.15033772818195387,0.05060312803079647,0.17324724358903743,0.04924233629936739,0.18338760289929174,0.04438966387856645
chemberta_xgb,risk_rf_error_predictor,75,5,5,0.5939578984857938,0.08288405052131763,0.27356577480801014,0.07755908606515699,0.5856354597066736,0.06590649623411599,0.2004521733714274,0.027127011478541425,0.16066719076519567,0.05203148047019722,0.17718869277230997,0.044927404379147495,0.18500117574055544,0.044602733931174234
chemberta_xgb,risk_scalar_full,75,5,5,0.5923600586713498,0.08723275413437868,0.27867425253728434,0.0999193136336836,0.6712184366992976,0.04474797890211679,0.23923695101817416,0.020478011985487373,0.16011719520192355,0.049683445312305966,0.17863239623484703,0.04484947332734472,0.1842728486712687,0.03973141586657659
chemberta_xgb,risk_uncertainty_only,75,5,5,0.5165839610265026,0.03490140915635259,0.20554067319561398,0.04061035253825911,0.6908600124750125,0.005271207986226361,0.24895515412791164,0.0024170448704200656,0.1933895517760972,0.04985848086824431,0.19786192946888828,0.04409314798564808,0.19593580352211112,0.044212365425107654
chemberta_xgb,risk_validation_knn_error,75,5,5,0.5795719135391677,0.0771049540554076,0.2629428915236888,0.060300176030501564,0.6054360828484464,0.10370815104726121,0.16241944787457757,0.029881753004709268,0.16873875918023373,0.06615234085172118,0.181255294662969,0.04725347629746002,0.18829609934400396,0.04065914698409351
chemprop_dmpnn,risk_calibrated_tanimoto,75,5,5,0.5640524586882201,0.09166569457223116,0.26719918342587795,0.08334766273873052,0.5088156484251724,0.08367634116614611,0.16433345120168677,0.03547169929946368,0.18891404963651573,0.07398678948265076,0.1980181275898459,0.06637894259518991,0.2033876813823771,0.061198973604927355
chemprop_dmpnn,risk_ensemble_variance,75,5,5,0.5191032992902925,0.049695985755120506,0.24532942508351618,0.0617669068954397,0.8257668698399591,0.31569446669666207,0.22695183916285927,0.040570669830285074,0.20641110352647882,0.07242940647507262,0.20404017400811184,0.05971894102021844,0.20584193291864825,0.060238852041510825
chemprop_dmpnn,risk_mara,75,5,5,0.5830377475390556,0.08871099097884612,0.28853707826040503,0.09287525944621916,0.6837948420227137,0.05773149271413052,0.2443280532406639,0.025488131167807983,0.17962459237666445,0.06662711213865388,0.19312385399592302,0.07008279279659925,0.19897270308887088,0.06057400977651318
chemprop_dmpnn,risk_mara_rank_fusion,75,5,5,0.6162664900619077,0.09671367291523515,0.319546065203886,0.10769165952011016,0.5004961204966744,0.08093850303969903,0.16144047256849026,0.03341539643819062,0.16552100183824783,0.06768080326845025,0.183535529181515,0.06456382400177405,0.19535086292848464,0.06367071216095242
chemprop_dmpnn,risk_rf_error_predictor,75,5,5,0.6038207812696097,0.09811204622412303,0.31331044377614137,0.10993594416403801,0.5807611399831233,0.07603988761759461,0.19852697532008554,0.030829538417872972,0.17109628063873614,0.07165482355892941,0.18633417444077202,0.06314241675217364,0.19707704238471827,0.0658192698749336
chemprop_dmpnn,risk_scalar_full,75,5,5,0.5836440735680795,0.09057421562610365,0.2909919088687881,0.0955577686347085,0.677234700798524,0.0504386615966883,0.24169860809375882,0.022935854851117005,0.1797374711718175,0.0657402289295667,0.19377884858845426,0.07354854529564514,0.1988939325171562,0.060488467580456444
chemprop_dmpnn,risk_uncertainty_only,75,5,5,0.5117448577345103,0.051959145990891825,0.24079822626436434,0.06130521650020182,0.68921918698908,0.012655957592584874,0.24803236095471254,0.006253843559267941,0.2095524014329387,0.07313802084496777,0.20524248647644103,0.05980772204099638,0.20624452250641812,0.06049246762096783
chemprop_dmpnn,risk_validation_knn_error,75,5,5,0.6158340361270954,0.08762639078587225,0.3185430894682515,0.10322417466149332,0.6070378923670264,0.1366451959021005,0.16437282739957793,0.03492421392110744,0.16471701631699912,0.06530289745996992,0.18611466301602955,0.05973762877418206,0.19408826911096438,0.06122823059485387
ecfp_xgb,risk_calibrated_tanimoto,75,5,5,0.6036995487494945,0.0751889437270666,0.29721546391792264,0.08057224689282586,0.49989210737822154,0.042269616218152464,0.16117939199516454,0.017196897639498214,0.16539964568931267,0.03676482443328514,0.18455491617391379,0.029675126733498102,0.19541033848625364,0.029562438179707586
