suite,split,method,n,seed_n,dataset_n,failure_auroc_mean,failure_auroc_std,failure_auprc_mean,failure_auprc_std,risk_ece_10bin_mean,risk_ece_10bin_std,risk_nll_mean,risk_nll_std,risk_brier_mean,risk_brier_std,risk_coverage_auc_mean,risk_coverage_auc_std,selective_risk_at_80_mean,selective_risk_at_80_std,selective_risk_at_90_mean,selective_risk_at_90_std,worst_slice_risk_mean,worst_slice_risk_std,coverage_gap_worst_minus_overall_mean,coverage_gap_worst_minus_overall_std,route_group,paper_role,result_source
BindingDB10k,random,risk_applicability_domain,10,10,1,0.5726814372315723,0.015254242317320737,0.25177223155933437,0.01587141024309759,0.3568813894714903,0.009822387329498722,1.5142205146240626,0.03377528572807904,0.31956796086584593,0.004481296306047846,0.1727903003130259,0.010934992984487087,0.17762413576367062,0.010794232046486303,0.1855307262569832,0.010708687503936639,0.24083405743395522,0.01573024169122912,0.04274456522681596,0.009402027486251208,Classic methods,classic-2,rerun_same_protocol
BindingDB10k,random,risk_calibrated_ad,10,10,1,0.5726814372315723,0.015254242317320737,0.25177223155933437,0.01587141024309759,0.01162020849443053,0.005951922000962554,0.49246568486362674,0.015288202867052509,0.157041613460226,0.006591001936867734,0.1727903003130259,0.010934992984487087,0.17762413576367062,0.010794232046486303,0.1855307262569832,0.010708687503936639,0.24083405743395522,0.01573024169122912,0.04274456522681596,0.009402027486251208,Direct mechanism competitors,direct-2,rerun_same_protocol
BindingDB10k,random,risk_calibrated_tanimoto,10,10,1,0.547694631289523,0.0175998185270317,0.24504534543383846,0.017107650280173123,0.0118567426262131,0.0066903668106332755,0.49488442342526995,0.015593831808992263,0.15784297366947814,0.006714496669666278,0.1839960428693237,0.012383834651277513,0.1773098680075424,0.011299857362954992,0.18648044692737425,0.011747499234556378,0.24083405743395522,0.01573024169122912,0.04274456522681596,0.009402027486251208,Direct mechanism competitors,direct-1,rerun_same_protocol
BindingDB10k,random,risk_conformal_uq,10,10,1,0.5438261191956604,0.012423532673582677,0.22822534417596296,0.014130871596625239,0.33333616312059205,0.008273393814129525,1.1266465859389376,0.03699013052479254,0.3204681310196137,0.0038121824729710828,0.18059383550998637,0.012818260960045033,0.18780641106222498,0.012323143615992427,0.19184357541899436,0.011618082236942473,0.24083405743395522,0.01573024169122912,0.04274456522681596,0.009402027486251208,Recent same-task OOD/UQ,recent-5,rerun_same_protocol
BindingDB10k,random,risk_ensemble_variance,10,10,1,0.5438198956434749,0.012419166110834852,0.22829145889314018,0.01413981303624453,0.2029009561168272,0.011345243953747823,0.9111957101001538,0.051535983303807355,0.2316939676151827,0.006260990157468512,0.18061082694714437,0.012838091917287641,0.18780641106222498,0.012383549802904159,0.19189944134078205,0.011677774372523776,0.24083405743395522,0.01573024169122912,0.04274456522681596,0.009402027486251208,Recent same-task OOD/UQ,recent-3,rerun_same_protocol
BindingDB10k,random,risk_isotonic_uq,10,10,1,0.5430906778373724,0.013020495433497686,0.22161815444795363,0.011619674165289804,0.01722823770446,0.008186190003513113,0.4989936487623939,0.018089007205206845,0.15848959516249433,0.006898335971178178,0.1811350071630315,0.014141190824086327,0.18780641106222498,0.011528102092380012,0.1918994413407821,0.013038706678908977,0.24083405743395522,0.01573024169122912,0.04274456522681596,0.009402027486251208,Recent same-task OOD/UQ,recent-4,rerun_same_protocol
BindingDB10k,random,risk_knn_tanimoto,10,10,1,0.547694631289523,0.0175998185270317,0.24504534543383846,0.017107650280173123,0.25531717015014854,0.00767392225551423,1.4334490405580418,0.07407024088706887,0.24479125239310168,0.006758740719378242,0.1839960428693237,0.012383834651277513,0.1773098680075424,0.011299857362954992,0.18648044692737425,0.011747499234556378,0.24083405743395522,0.01573024169122912,0.04274456522681596,0.009402027486251208,Classic methods,classic-1,rerun_same_protocol
BindingDB10k,random,risk_mahalanobis,10,10,1,0.46206155115916764,0.013183258893479207,0.18193075205613143,0.011934323111407625,0.2158424410895284,0.01309375229031153,0.7977547320398971,0.0435345717747895,0.23750357402751243,0.010486629116138844,0.21403123593833917,0.014860502406086815,0.20358265241986168,0.012146086256549398,0.1997765363128491,0.011030120715764844,0.24083405743395522,0.01573024169122912,0.04274456522681596,0.009402027486251208,Recent same-task OOD/UQ,recent-1,rerun_same_protocol
BindingDB10k,random,risk_mara,10,10,1,0.585239942217976,0.013681527503557072,0.25935714833612167,0.019488234594795113,0.011919944918871588,0.005200398646800552,0.49047239654352526,0.015324249139453749,0.1564499466495472,0.006543802393988912,0.16447865122458127,0.010470702754589747,0.17844123192960398,0.01203717985038115,0.1872625698324022,0.011085315568723313,0.24083405743395522,0.01573024169122912,0.04274456522681596,0.009402027486251208,Proposed,main,ours_rerun_same_protocol
BindingDB10k,random,risk_mara_ad_guard,10,10,1,0.572782734869336,0.0152786078866768,0.25178658866691617,0.015875339428378012,0.011352481027969138,0.005759592725436436,0.492288480303228,0.015275262101944112,0.15699323962704242,0.006583771752637602,0.17279046992617705,0.010927817537502488,0.17762413576367062,0.010794232046486303,0.1855307262569832,0.010708687503936639,0.24083405743395522,0.01573024169122912,0.04274456522681596,0.009402027486251208,Proposed,ood-guard-variant,ours_rerun_same_protocol
BindingDB10k,random,risk_mara_ad_guard_isotonic,10,10,1,0.5719166188402872,0.016403779580653838,0.24179259066054862,0.01563728855048704,0.01490507469834923,0.004994359348277284,0.4951189857597392,0.016764070252491336,0.15705673134217085,0.0064904350358077015,0.1721825088791952,0.011404419710419562,0.17668133249528595,0.01130762385575334,0.18530726256983238,0.009934609294026278,0.24083405743395522,0.01573024169122912,0.04274456522681596,0.009402027486251208,Proposed,ood-guard-calibrated-variant,ours_rerun_same_protocol
BindingDB10k,random,risk_mara_ad_guard_rate,10,10,1,0.572782734869336,0.0152786078866768,0.25178658866691617,0.015875339428378012,0.09053954539181847,0.010451564193616751,0.5502534015307601,0.02011953644605596,0.16900207853509816,0.007086568523812307,0.17279046992617705,0.010927817537502488,0.17762413576367062,0.010794232046486303,0.1855307262569832,0.010708687503936639,0.24083405743395522,0.01573024169122912,0.04274456522681596,0.009402027486251208,Proposed,ood-guard-rate-matched-variant,ours_rerun_same_protocol
BindingDB10k,random,risk_mara_dual_blend_rate,10,10,1,0.5837015536939222,0.014582923643420804,0.25674710267125933,0.01993203405689375,0.02659248553104606,0.009087658076901312,0.49438178362217267,0.015004053580273055,0.15785459487422143,0.006314246182349686,0.16485025597006536,0.01066498681364279,0.17900691389063478,0.011910153680626137,0.1873743016759776,0.011603148579214875,0.24083405743395522,0.01573024169122912,0.04274456522681596,0.009402027486251208,Proposed,dual-head-blend-variant,ours_rerun_same_protocol
BindingDB10k,random,risk_mara_dual_guard_rate,10,10,1,0.5818483934591518,0.015572135984715851,0.2536834732500145,0.020058046730407834,0.02305655143631276,0.010054840939101153,0.4932369300918453,0.015204462196921315,0.15737156284873974,0.006408981317276524,0.16553322569430792,0.010915434889918259,0.17894406033940913,0.011777659070452072,0.18810055865921782,0.011659348596016248,0.24083405743395522,0.01573024169122912,0.04274456522681596,0.009402027486251208,Proposed,dual-head-guard-variant,ours_rerun_same_protocol
BindingDB10k,random,risk_mara_isotonic,10,10,1,0.5805069831403074,0.010578473731625007,0.2456282496450705,0.015280357646151292,0.01647445305429142,0.003727663404069302,0.5002914133193581,0.019315311981359093,0.15772916566887024,0.006727862573020197,0.1655014221054129,0.009782110565867613,0.17756128221244497,0.011545033790401043,0.188268156424581,0.011259751551456964,0.24083405743395522,0.01573024169122912,0.04274456522681596,0.009402027486251208,Proposed,calibrated-variant,ours_rerun_same_protocol
BindingDB10k,random,risk_mara_rank_fusion,10,10,1,0.6229383209591358,0.019412610582847153,0.28630235795485837,0.021252376083456686,0.017762700596272468,0.009311343278029753,0.48295652361847674,0.013894716589372693,0.15419691948233613,0.005941268206442416,0.1461704796995555,0.009524237997086345,0.17171590194846006,0.011347730526875719,0.18340782122905025,0.011400694258660861,0.24083405743395522,0.01573024169122912,0.04274456522681596,0.009402027486251208,Proposed,rank-fusion-main,ours_rerun_same_protocol
