method,cases,dataset_ids,seeds,failure_auroc_mean,failure_auroc_std,failure_auprc_mean,failure_auprc_std,risk_nll_mean,risk_nll_std,risk_brier_mean,risk_brier_std,risk_ece_10bin_mean,risk_ece_10bin_std,risk_coverage_auc_mean,risk_coverage_auc_std
audit_mara_only,10,1,10,0.5998076756232232,0.001987381123298578,0.28408671808570785,0.005126672237704241,0.4913260964970931,0.004631442465812882,0.15772643101256972,0.002010867253885332,0.028065011060672905,0.0008920496271361681,0.16212104423087262,0.0030943898859946153
audit_probability_mean,10,1,10,0.6185823279363551,0.0018406281472656432,0.30108803629917513,0.004324309996520857,0.48879395005930226,0.004909052280025349,0.15690089509996008,0.0020967573452628802,0.031100207270218255,0.0013578053379831258,0.15402351156303076,0.0032758719795363913
audit_probability_median,10,1,10,0.6133721293932979,0.0025338403677022574,0.29312405839327627,0.0034347192045356832,0.49039240556321556,0.005089928206932626,0.1574095851730236,0.002134518407986037,0.03445296129298319,0.0012030605754307217,0.15580573364826583,0.003556474971480098
audit_rank_full_inductive_cdf,10,1,10,0.6162425400141031,0.0016439972216541747,0.29581610797497504,0.0050550287834592676,0.49125205680632983,0.004988235238402069,0.15763173786012977,0.0020263059362082897,0.03838512961485315,0.001481448810213356,0.1545509646670285,0.0031685705399642048
audit_rank_full_transductive,10,1,10,0.615371786995028,0.001746757418379045,0.29526636259934724,0.004966791378319865,0.4910936678664772,0.004851925649849847,0.15760534172050067,0.0020037703982578123,0.03636198931656156,0.001844341958335295,0.15485060207496468,0.003186278425342461
audit_rank_without_mara,10,1,10,0.6152900503308162,0.0015808489861891427,0.29482143949325157,0.004782772482021468,0.49117980752809676,0.004862887612543143,0.1576201215827033,0.002017113924574719,0.0351577764445951,0.0016517284958809022,0.155178841708279,0.0032961914268729627
audit_rank_without_rf_error,10,1,10,0.6137777734230128,0.0022404756673928827,0.29348032420445735,0.005446022047089111,0.49194261842393916,0.0049542767148599825,0.15782261839136758,0.0020113124761454862,0.03762765109696845,0.0017686636377679727,0.1557045435532292,0.003278136658195197
audit_rank_without_scalar,10,1,10,0.6159082646569038,0.0015065280525288366,0.29516519755181264,0.0049733020418285985,0.49076608590677057,0.004874199496261021,0.15751004688393216,0.0020139178530439164,0.03473106085207461,0.0017724831390480114,0.1545082227729721,0.003154587192708823
audit_rank_without_tanimoto,10,1,10,0.6134793734695456,0.0018203293694436622,0.2931793445758802,0.00500694139794843,0.4916556074251613,0.0048219210826617315,0.1577764468792378,0.0019974133361196226,0.036455366427822614,0.001686438764254191,0.1553043617995578,0.003283581435717172
audit_rank_without_validation_knn,10,1,10,0.6058874294970589,0.0016599986896397296,0.28857043281199596,0.0042605035583767326,0.4954925532768722,0.004923541447559681,0.15867046756542294,0.001995683008622898,0.040194811590172116,0.0017900132891188463,0.15922646178775315,0.0032115409880664417
audit_validation_logistic_stack,10,1,10,0.5906791677433539,0.0011730809344097342,0.28106706596154585,0.003267919348222605,0.5250164885595288,0.006076157274080923,0.16516264168505945,0.002201468980464591,0.07747126696300685,0.0018586100809590968,0.16620171752474105,0.003198642876484327
