dataset,backbone,condition,protocol,mara_method,external_method,mara_selection,external_selection,paired_seed_n,mara_auroc_mean,mara_auroc_std,external_auroc_mean,external_auroc_std,paired_delta_mean,verdict_at_tolerance,tolerance,inference_status
OGBN-Arxiv,gcn,clean,official_temporal,mara_nonnegative,uncertainty_composite,fixed nonnegative diagnostic head,descriptive test-set upper envelope across nine rerun baselines,5,0.7580427521749542,0.0012719798874302958,0.7557004606348022,0.0012293915215843003,0.002342291540152175,lead,0.002,descriptive; external comparator selected by test-set mean
OGBN-Arxiv,gcn,clean,structural_group_ood,mara_nonnegative,uncertainty_composite,fixed nonnegative diagnostic head,descriptive test-set upper envelope across nine rerun baselines,5,0.7597868601590319,0.0261692078026623,0.7646393111879494,0.012948913676285832,-0.004852451028917582,lag,0.002,descriptive; external comparator selected by test-set mean
OGBN-Arxiv,gcn,noisy,official_temporal,mara_nonnegative,uncertainty_composite,fixed nonnegative diagnostic head,descriptive test-set upper envelope across nine rerun baselines,5,0.7508078121002801,0.0015441710833513898,0.7536692937634041,0.0009916953806595593,-0.0028614816631239216,lag,0.002,descriptive; external comparator selected by test-set mean
OGBN-Arxiv,gcn,noisy,structural_group_ood,mara_nonnegative,uncertainty_composite,fixed nonnegative diagnostic head,descriptive test-set upper envelope across nine rerun baselines,5,0.7499185147262903,0.038057961393516,0.76180444995245,0.017336647274048878,-0.011885935226159683,lag,0.002,descriptive; external comparator selected by test-set mean
OGBN-Arxiv,sage,clean,official_temporal,mara_nonnegative,max_softmax_risk,fixed nonnegative diagnostic head,descriptive test-set upper envelope across nine rerun baselines,5,0.7582686601173233,0.0015002235285827663,0.7519982440944644,0.0017372726270944358,0.006270416022859071,lead,0.002,descriptive; external comparator selected by test-set mean
OGBN-Arxiv,sage,clean,structural_group_ood,mara_nonnegative,max_softmax_risk,fixed nonnegative diagnostic head,descriptive test-set upper envelope across nine rerun baselines,5,0.7708689467342819,0.013826640514860562,0.7698628038254001,0.015777157850105486,0.0010061429088819684,tie,0.002,descriptive; external comparator selected by test-set mean
OGBN-Arxiv,sage,noisy,official_temporal,mara_nonnegative,uncertainty_composite,fixed nonnegative diagnostic head,descriptive test-set upper envelope across nine rerun baselines,5,0.757918150740229,0.0013347484306232037,0.7532201372378122,0.0013169066501535417,0.004698013502416521,lead,0.002,descriptive; external comparator selected by test-set mean
OGBN-Arxiv,sage,noisy,structural_group_ood,mara_nonnegative,uncertainty_composite,fixed nonnegative diagnostic head,descriptive test-set upper envelope across nine rerun baselines,5,0.7662444563342514,0.015396216565794301,0.7676903706038998,0.01741178466324071,-0.0014459142696483297,tie,0.002,descriptive; external comparator selected by test-set mean
