property,evaluation_split,method,seeds,cases,failure_auroc_mean,failure_auroc_std,failure_auprc_mean,failure_auprc_std,risk_nll_mean,risk_nll_std,risk_brier_mean,risk_brier_std,risk_ece_10bin_mean,risk_ece_10bin_std,risk_coverage_auc_mean,risk_coverage_auc_std
density,id,risk_knn_tanimoto,5,5,0.5881367413610222,0.016088226111169474,0.2787894083418837,0.01220248124134764,1.0871813187658474,0.031850304338102056,0.35577207858348664,0.005411593064462612,0.4365904350991038,0.00971735279597906,0.1483019175877762,0.0037769908018033026
density,id,risk_mahalanobis,5,5,0.3117313879017255,0.012768744207746315,0.13298945667454648,0.0029781950038000843,0.9373997758515056,0.04660329901922939,0.30349063545518085,0.008723149031757176,0.3275849082987358,0.0089533697271389,0.264897285148725,0.009049309736526519
density,id,risk_mara,5,5,0.5873086523417641,0.015598046200082365,0.28618489833119665,0.0305433625205066,0.47154500044269054,0.005170145498277057,0.14819995256354682,0.002475259457895438,0.021373863069785864,0.006286740266932122,0.15209963882630223,0.004047847102418025
density,id,risk_mara_rank_fusion,5,5,0.6878366288589474,0.0264235807725951,0.308652531554768,0.026379840790797502,0.4490719626266607,0.003909465241014025,0.14150404515065387,0.002223504952654241,0.02803058779072782,0.008692457498317296,0.1092056372790676,0.007430239064948525
density,id,risk_mara_rank_fusion_inductive_cdf,5,5,0.688684116081746,0.025870491734321866,0.30989163401898906,0.027096346070618425,0.4486250600475505,0.003838822947223042,0.1413685520911388,0.002218179411062173,0.02807330676044007,0.007647853929303225,0.10918024738381397,0.007368184919332975
density,id,risk_rank_fusion_inductive_without_mara,5,5,0.7034985439333293,0.025485791789523846,0.32220181834905454,0.028393799325337032,0.44397497466397684,0.00392962162966318,0.14008929148215726,0.0021751311849409673,0.02596105244534812,0.007299862038645797,0.1030331568120594,0.007193449980256695
density,id,risk_rf_error_predictor,5,5,0.6864349345175507,0.023980019062637088,0.32790059599000226,0.03914397515312003,0.538023345542844,0.01350999447305835,0.17989225067316836,0.004861618031479038,0.18856509804591876,0.008899692683682951,0.1095297956033073,0.005961543354365949
density,id,risk_scalar_full,5,5,0.7047174427480971,0.017292676591088723,0.3392455343110959,0.029756945150111583,0.6321902629220333,0.012054168525546721,0.22136364020509885,0.005480617114509644,0.284087359390592,0.006148571542852328,0.10358082323213727,0.004365680322535521
density,id,risk_uncertainty_only,5,5,0.5158809265892591,0.02913496578536849,0.20230613242852896,0.01797128097012863,0.6930349678839739,0.0017659277373485154,0.24992224001291902,0.0008811646130644993,0.3156076410330478,0.0057305475398823184,0.1791476264139939,0.01209799052158214
density,id,risk_validation_knn_error,5,5,0.6007294251894668,0.03030944571436474,0.25120834075126636,0.03070978125395119,0.5830063829972272,0.06628032166040738,0.15304973483028086,0.004378200675778938,0.06549808355586104,0.01226915724915791,0.14289798618165667,0.014214483126633103
density,ood,risk_knn_tanimoto,5,5,0.6219135892040372,0.042331637395268705,0.9759939329848091,0.0047225810887413545,0.45403451555161006,0.00964831804915179,0.12483498204199861,0.0034341774627924537,0.2400670231362981,0.005313031591809051,0.9513334925349319,0.006277290288809449
density,ood,risk_mahalanobis,5,5,0.16563666335578162,0.028061073773957695,0.9090013194184012,0.007937998133314209,2.0649838279829424,0.04955250124623622,0.6198916687203868,0.005412938858107529,0.7437681758499185,0.005890221243833653,0.9901552302033465,0.002255869919157333
